title,distributor,genre,release_time,time,screening_rat,director,dir_prev_bfnum,dir_prev_num,num_staff,num_actor,box_off_num
식객: 김치전쟁,롯데엔터테인먼트,드라마,2010-01-28,119,전체 관람가,백동훈,,0,372,3,462714
춘하추동 로맨스,(주)노버스엔터테인먼트,코미디,2014-12-04,100,15세 관람가,오창민,,0,54,7,1217
R2B: 리턴투베이스,주머니필름,액션,2012-08-15,113,15세 관람가,김동원,,0,477,7,1201944
불안한 외출,홀리가든,다큐멘터리,2015-12-10,90,15세 관람가,김철민,,0,24,2,1958
좀비스쿨,BoXoo 엔터테인먼트,공포,2014-09-25,87,청소년 관람불가,김석정,2515.5,2,119,4,7721
화차,필라멘트 픽쳐스,미스터리,2012-03-08,117,15세 관람가,변영주,43734.0,2,308,3,2436884
닥터,(주)마인스 엔터테인먼트,공포,2013-06-20,97,청소년 관람불가,김성홍,,0,20,3,68312
설국열차,CJ 엔터테인먼트,SF,2013-08-01,125,15세 관람가,봉준호,,0,67,10,9350351
쿠바의 연인,시네마 달,다큐멘터리,2011-01-13,93,15세 관람가,정호현,,0,0,2,4340
암살,(주)쇼박스,액션,2015-07-22,139,15세 관람가,최동훈,5169479.0,4,628,3,12706663
두 여자,CJ 엔터테인먼트,멜로/로맨스,2010-11-18,105,청소년 관람불가,정윤수,1421201.0,2,354,3,129576
한양 기방 춘향뎐,(주) 케이알씨지,멜로/로맨스,2015-11-25,89,청소년 관람불가,김민욱,,0,0,1,400
베드,(주)마운틴픽쳐스,멜로/로맨스,2013-01-17,91,청소년 관람불가,박철수,,0,37,3,660
뜨거운 안녕,나이너스엔터테인먼트(주),드라마,2013-05-30,99,12세 관람가,남택수,,0,206,4,47105
애니멀 타운,트리필름,드라마,2011-03-10,97,청소년 관람불가,전규환,,0,1,2,1379
천사의 숨소리,롤러코스터 프로덕션,코미디,2012-02-23,93,12세 관람가,한지원,,0,53,2,1873
해적: 바다로 간 산적,롯데엔터테인먼트,SF,2014-08-06,130,12세 관람가,이석훈,1843894.66666667,3,868,2,8666208
우리 선희,(주) 영화제작전원사,드라마,2013-09-12,89,청소년 관람불가,홍상수,,0,8,6,69122
내 아내의 모든 것,(주)NEW,멜로/로맨스,2012-05-17,121,15세 관람가,민규동,,0,340,3,4598985
모차르트 락 오페라,SK플래닛,뮤지컬,2011-11-17,133,전체 관람가,정성복,,0,4,4,16323
고양이 춤,인디스토리,다큐멘터리,2011-11-17,76,전체 관람가,윤기형,,0,42,3,12486
도약선생,(주) 영화사조제,드라마,2011-06-30,65,12세 관람가,윤성호,,0,17,4,2155
서울연애,서울독립영화제,드라마,2014-10-30,120,청소년 관람불가,최시형,,0,103,16,1547
마담 뺑덕,CJ 엔터테인먼트,멜로/로맨스,2014-10-02,111,청소년 관람불가,임필성,14188.0,1,450,3,471248
푸른소금,스튜디오 블루,드라마,2011-08-31,120,15세 관람가,이현승,20380.0,1,436,2,771699
윤희,노바엔터테인먼트,드라마,2014-01-09,89,청소년 관람불가,윤여창,,0,11,2,561
고스톱 살인,(주)랠리버튼,SF,2014-03-20,100,15세 관람가,김준권,,0,77,3,820
서부전선,롯데엔터테인먼트,액션,2015-09-24,112,12세 관람가,천성일,4385472.0,2,388,2,609063
깡철이,CJ 엔터테인먼트,드라마,2013-10-02,108,15세 관람가,안권태,1918611.5,2,143,2,1209363
577 프로젝트,필라멘트 픽쳐스,코미디,2012-08-30,99,15세 관람가,이근우,1198419.5,2,150,2,96080
보호자,무비꼴라쥬,느와르,2014-04-10,88,15세 관람가,유원상,2496.0,1,128,3,458
더 웹툰: 예고살인,CJ 엔터테인먼트,공포,2013-06-27,104,15세 관람가,김용균,1670652.0,1,243,2,1201033
스타: 빛나는 사랑,(주)마운틴픽쳐스,드라마,2012-10-11,98,12세 관람가,한상희,,0,65,6,577
화이트: 저주의 멜로디,CJ E&M Pictures,공포,2011-06-09,106,15세 관람가,김곡,,0,98,5,790959
옥희의 영화,스폰지,드라마,2010-09-16,80,청소년 관람불가,홍상수,,0,57,3,37122
코인라커,(주)드림팩트엔터테인먼트,느와르,2015-05-28,95,청소년 관람불가,김태경,228385.0,1,115,2,1008
반드시 크게 들을 것,인디스토리,다큐멘터리,2010-04-22,95,15세 관람가,백승화,,0,16,11,2732
고스트 메신저 극장판,에이원 엔터테인먼트,애니메이션,2014-05-22,78,12세 관람가,구봉회,,0,0,5,23802
그놈이다,CGV 아트하우스,공포,2015-10-28,109,15세 관람가,윤준형,1081752.0,1,317,3,1046313
귀,CJ 엔터테인먼트,공포,2010-06-10,109,15세 관람가,김조광수,,0,255,13,13108
맛있는 덫-정사,(주) 케이알씨지,멜로/로맨스,2015-10-07,88,청소년 관람불가,신정균,752.5,2,22,2,426
7번방의 선물,(주)NEW,코미디,2013-01-23,127,15세 관람가,이환경,819049.5,2,300,8,12811435
꿈은 이루어진다,CJ 엔터테인먼트,코미디,2010-05-27,113,15세 관람가,계윤식,1468191.0,1,258,2,101698
남자사용설명서,(주)쇼박스,멜로/로맨스,2013-02-14,116,15세 관람가,이원석,,0,158,3,507913
홈 스위트 홈,머스트 씨 무비,애니메이션,2014-07-17,67,12세 관람가,안도 마사히로,,0,8,3,2329
밀양 아리랑,시네마달,다큐멘터리,2015-07-16,102,15세 관람가,박배일,,0,5,4,3044
조선마술사,롯데엔터테인먼트,드라마,2015-12-30,122,12세 관람가,김대승,1347413.75,4,574,2,627586
스파이,이십세기폭스코리아(주),코미디,2015-05-21,120,15세 관람가,폴 페이그,,0,14,6,2318748
터널 3D,BoXoo 엔터테인먼트,공포,2014-08-20,86,15세 관람가,박규택,,0,365,4,81008
마이 보이,트리필름,드라마,2014-04-10,99,12세 관람가,전규환,,0,117,4,3523
구르믈 버서난 달처럼,SK텔레콤(주),드라마,2010-04-28,111,15세 관람가,이준익,,0,410,4,1383867
헤드,SBS콘텐츠허브,액션,2011-05-26,100,청소년 관람불가,조운,145.0,1,290,3,61414
어이그 저 귓것,영화사 진진,드라마,2011-08-25,90,전체 관람가,오멸,,0,0,5,732
감금의 시간,마법사필름,공포,2015-12-03,91,청소년 관람불가,김대성,,0,1,2,555
"협녀, 칼의 기억",롯데엔터테인먼트,액션,2015-08-13,121,15세 관람가,박흥식,120930.33333333301,3,439,3,431310
꼭 껴안고 눈물 핑,스폰지이엔티,멜로/로맨스,2011-03-10,78,15세 관람가,김동원,340.0,1,9,3,614
남쪽으로 간다,시네마달,드라마,2012-11-15,45,청소년 관람불가,이송희일,3389.0,1,2,2,2919
설마 그럴리가 없어,(주) 영화사조제,드라마,2012-06-21,95,12세 관람가,조성규,,0,23,2,1679
제보자,메가박스(주)플러스엠,드라마,2014-10-02,114,12세 관람가,임순례,15495.666666666699,3,277,3,1755181
5백만불의 사나이,CJ 엔터테인먼트,코미디,2012-07-19,107,15세 관람가,김익로,107375.5,2,157,3,104736
맛있는 택배,(주)로드하우스,멜로/로맨스,2015-04-02,84,청소년 관람불가,기대호,,0,0,1,6226
두만강,인디스토리,드라마,2011-03-17,93,15세 관람가,장률,,0,22,3,2429
명량: 회오리 바다를 향하여,(주)NEW,다큐멘터리,2015-05-07,95,12세 관람가,정세교,2723789.25,4,12,5,8897
자칼이 온다,롯데엔터테인먼트,코미디,2012-11-15,107,15세 관람가,배형준,19.0,2,215,3,210278
미라클 여행기,미라클 필름,다큐멘터리,2015-01-15,84,전체 관람가,허철,,0,0,1,3399
위험한 섹스,(주) 케이알씨지,멜로/로맨스,2015-09-23,72,청소년 관람불가,이전,,0,0,1,419
듀엣,(주) 영화사조제,드라마,2012-04-19,96,전체 관람가,이상빈,,0,61,2,1081
채식주의자,스폰지,드라마,2010-02-18,113,청소년 관람불가,임우성,,0,153,5,3536
목숨,필라멘트 픽쳐스,다큐멘터리,2014-12-04,95,12세 관람가,이창재,,0,139,4,38771
나나나 : 여배우 민낯 프로젝트,서울독립영화제,다큐멘터리,2012-08-23,89,12세 관람가,부지영,,0,1,3,1028
특종: 량첸살인기,롯데엔터테인먼트,공포,2015-10-22,125,15세 관람가,노덕,145.0,1,303,3,616481
폐가,시너지,공포,2010-08-19,84,15세 관람가,이철하,,0,118,6,225955
숨바꼭질,(주)NEW,공포,2013-08-14,107,15세 관람가,허정,,0,249,3,5604106
이파네마 소년,프리비젼 엔터테인먼트,멜로/로맨스,2010-11-04,94,12세 관람가,김기훈,,0,158,2,3436
웨딩스캔들,(주)마인스엔터테인먼트,멜로/로맨스,2012-09-06,90,15세 관람가,신재호,67602.0,1,57,2,21295
사요나라 이츠카,CJ 엔터테인먼트,드라마,2010-04-15,133,청소년 관람불가,이재한,1887850.0,1,404,3,23229
도쿄 택시,(주)키노아이,코미디,2010-05-20,75,전체 관람가,김태식,,0,80,3,6034
전국노래자랑,롯데엔터테인먼트,코미디,2013-05-01,112,12세 관람가,이종필,385977.5,2,245,8,978413
술에 대하여 - 극장판,이모션 픽처스,다큐멘터리,2011-09-01,72,15세 관람가,임범,,0,0,2,541
공범,CJ 엔터테인먼트,공포,2013-10-24,95,15세 관람가,국동석,1389992.0,4,281,2,1766285
네모난원,영화사 廊,드라마,2012-12-06,100,15세 관람가,김성훈,86837.0,2,10,3,7173
소리굽쇠,CJ 엔터테인먼트,드라마,2014-10-30,105,15세 관람가,추상록,163019.5,2,154,3,3060
뫼비우스,(주)NEW,드라마,2013-09-05,90,청소년 관람불가,김기덕,,0,93,3,35348
천 번을 불러도,(주)마운틴픽쳐스,드라마,2014-10-16,97,15세 관람가,신성섭,,0,51,3,685
"1999, 면회",인디스토리,드라마,2013-02-21,85,15세 관람가,김태곤,,0,32,4,3404
사랑을 말하다,크리에이티브컴즈(주),드라마,2012-09-13,61,15세 관람가,전화성,424.0,2,6,8,188
분홍돌고래,ysfilm,드라마,2010-07-01,78,12세 관람가,조연수,,0,17,7,172
점쟁이들,(주)NEW,코미디,2012-10-03,119,15세 관람가,신정원,1030261.0,3,380,6,953682
망원동 인공위성,시네마달,다큐멘터리,2015-02-05,108,12세 관람가,김형주,,0,8,1,2972
"메밀꽃, 운수 좋은 날, 그리고 봄봄",이달투,애니메이션,2014-08-21,90,전체 관람가,안재훈,53235.0,1,167,7,35567
지옥화,(주)팝엔터테인먼트,드라마,2014-11-06,99,청소년 관람불가,이상우,,0,42,3,600
정글히어로,CJ 엔터테인먼트,애니메이션,2014-10-02,82,전체 관람가,박태동,,0,0,6,72052
자가당착: 시대정신과 현실참여,인디플러그,코미디,2015-09-10,74,청소년 관람불가,김선,7763.0,1,29,4,532
뽀로로 극장판 컴퓨터 왕국 대모험,(주)NEW,애니메이션,2015-12-10,62,전체 관람가,박영균,,0,2,8,446054
창수,(주)마인스 엔터테인먼트,느와르,2013-11-28,103,청소년 관람불가,이덕희,281.0,1,194,5,429141
페스티발,시너지,코미디,2010-11-18,109,청소년 관람불가,이해영,475388.0,3,420,7,196995
후쿠시마의 미래,인디플러그,다큐멘터리,2015-04-09,70,전체 관람가,이홍기,,0,4,1,938
청야,마노엔터테인먼트,드라마,2013-12-26,83,12세 관람가,김재수,,0,2,4,4550
서유기 리턴즈,(주) 영화사조제,SF,2011-02-17,79,전체 관람가,신재호,67602.0,1,220,4,12696
하울링,CJ 엔터테인먼트,느와르,2012-02-16,114,15세 관람가,유하,2061296.66666667,3,288,2,1612554
상의원,(주)쇼박스,드라마,2014-12-24,127,15세 관람가,이원석,,0,456,5,790370
짐승의 끝,CJ 엔터테인먼트,미스터리,2011-03-17,114,청소년 관람불가,조성희,,0,92,2,1250
아티스트 봉만대,씨너스엔터테인먼트(주),코미디,2013-08-29,101,청소년 관람불가,봉만대,,0,59,4,14188
차이나타운,CGV아트하우스,느와르,2015-04-29,110,청소년 관람불가,한준희,597497.0,3,420,3,1472147
낭만파 남편의 편지,퍼스트런,미스터리,2013-09-12,97,청소년 관람불가,최위안,,0,5,3,1132
오빠가 돌아왔다,(주)마운틴픽쳐스,코미디,2014-03-20,94,청소년 관람불가,노진수,,0,37,5,1958
해무,(주)NEW,드라마,2014-08-13,111,청소년 관람불가,심성보,3833.0,1,510,7,1475091
파파로티,(주)쇼박스,드라마,2013-03-14,127,15세 관람가,윤종찬,496061.0,1,286,6,1716438
살인의 강,(주)마운틴픽쳐스,공포,2010-09-30,99,청소년 관람불가,김대현,,0,123,4,2475
악의 연대기,CJ 엔터테인먼트,느와르,2015-05-14,102,15세 관람가,백운학,,0,431,4,2192525
베를린,CJ 엔터테인먼트,액션,2013-01-30,120,15세 관람가,류승완,,0,363,5,7166532
